date,close,eps,pe,bv,pb,div-yield %
2016-06-30,8287.7,364.29,22.75,2459.26,3.37,1.25
2016-05-31,8160.1,361.07,22.6,2400.03,3.4,1.32
2016-04-29,7849.8,369.58,21.24,2400.55,3.27,1.37
2016-03-31,7738.4,370.44,20.89,2496.26,3.1,1.49
2016-02-29,6987.0,369.68,18.9,2486.48,2.81,1.66
2016-01-29,7563.5,374.06,20.22,2496.2,3.03,1.53
2015-12-31,7946.3,369.77,21.49,2491.0,3.19,1.46
2015-11-30,7935.2,369.94,21.45,2487.52,3.19,1.43
2015-10-30,8065.8,365.63,22.06,2497.15,3.23,1.41
2015-09-30,7948.9,357.9,22.21,2468.6,3.22,1.46
2015-08-31,7971.3,361.02,22.08,2483.27,3.21,1.48
2015-07-31,8532.8,362.63,23.53,2437.94,3.5,1.41
2015-06-30,8368.5,360.87,23.19,2404.74,3.48,1.44
2015-05-29,8433.6,364.78,23.12,2304.26,3.66,1.39
2015-04-30,8181.5,370.71,22.07,2317.71,3.53,1.45
2015-03-31,8491.0,374.05,22.7,2326.3,3.65,1.28
2015-02-28,8901.8,374.03,23.8,2354.97,3.78,1.24
2015-01-30,8808.9,391.85,22.48,2374.37,3.71,1.2
2014-12-31,8282.7,391.43,21.16,2373.27,3.49,1.27
2014-11-28,8588.2,391.44,21.94,2365.9,3.63,1.23
2014-10-31,8322.2,385.64,21.58,2371.0,3.51,1.27
2014-09-30,7964.8,382.56,20.82,2322.1,3.43,1.31
2014-08-28,7954.3,382.42,20.8,2298.93,3.46,1.27
2014-07-31,7721.3,375.55,20.56,2218.76,3.48,1.3
2014-06-30,7611.3,368.59,20.65,2187.16,3.48,1.29
2014-05-30,7229.9,364.78,19.82,2107.84,3.43,1.34
2014-04-30,6696.4,356.38,18.79,2073.19,3.23,1.37
2014-03-31,6704.2,355.47,18.86,2075.6,3.23,1.37
2014-02-28,6276.9,355.23,17.67,2113.43,2.97,1.49
2014-01-31,6089.5,344.04,17.7,2114.41,2.88,1.54
2013-12-31,6304.0,337.11,18.7,2108.36,2.99,1.48
2013-11-29,6176.1,336.02,18.38,2107.88,2.93,1.51
2013-10-31,6299.1,346.49,18.18,2106.72,2.99,1.46
2013-09-30,5735.3,340.98,16.82,2070.51,2.77,1.56
2013-08-30,5471.8,346.98,15.77,2019.11,2.71,1.54
2013-07-31,5742.0,336.77,17.05,2021.83,2.84,1.47
2013-06-28,5842.2,328.95,17.76,1921.78,3.04,1.43
2013-05-31,5985.9,333.48,17.95,1894.27,3.16,1.39
2013-04-30,5930.2,332.22,17.85,1894.63,3.13,1.4
2013-03-28,5682.5,323.42,17.57,1887.87,3.01,1.46
2013-02-28,5693.0,322.37,17.66,1878.88,3.03,1.44
2013-01-31,6034.7,326.2,18.5,1885.84,3.2,1.37
2012-12-31,5905.1,316.12,18.68,1886.61,3.13,1.4
2012-11-30,5879.8,316.29,18.59,1884.55,3.12,1.4
2012-10-31,5619.7,305.42,18.4,1854.69,3.03,1.44
2012-09-28,5703.3,297.51,19.17,1793.49,3.18,1.42
2012-08-31,5258.5,298.1,17.64,1832.23,2.87,1.57
2012-07-31,5229.0,305.97,17.09,1766.55,2.96,1.54
2012-06-29,5278.9,301.48,17.51,1747.98,3.02,1.51
2012-05-31,4924.2,295.57,16.66,1703.88,2.89,1.66
2012-04-30,5248.1,289.63,18.12,1703.93,3.08,1.52
2012-03-30,5295.5,283.03,18.71,1759.3,3.01,1.5
2012-02-29,5385.2,282.1,19.09,1771.45,3.04,1.47
2012-01-31,5199.2,280.58,18.53,1721.59,3.02,1.49
2011-12-30,4624.3,276.08,16.75,1675.47,2.76,1.63
2011-11-30,4832.0,276.27,17.49,1671.97,2.89,1.56
2011-10-31,5326.6,281.83,18.9,1669.78,3.19,1.42
2011-09-30,4943.2,276.93,17.85,1692.88,2.92,1.53
2011-08-30,5001.0,277.06,18.05,1695.25,2.95,1.52
2011-07-29,5482.0,277.43,19.76,1612.35,3.4,1.29
2011-06-30,5647.4,271.25,20.82,1613.54,3.5,1.25
2011-05-31,5560.1,270.83,20.53,1611.62,3.45,1.22
2011-04-29,5749.5,269.17,21.36,1575.21,3.65,1.09
2011-03-31,5833.7,263.49,22.14,1576.68,3.7,1.07
2011-02-28,5333.2,261.18,20.42,1577.87,3.38,1.17
2011-01-31,5505.9,261.44,21.06,1586.71,3.47,1.13
2010-12-31,6134.5,250.59,24.48,1585.14,3.87,1.02
2010-11-30,5862.7,250.65,23.39,1588.81,3.69,1.06
2010-10-29,6017.7,243.53,24.71,1591.98,3.78,1.04
2010-09-30,6029.9,236.84,25.46,1578.51,3.82,1.03
2010-08-31,5402.4,237.68,22.73,1526.1,3.54,1.12
2010-07-30,5367.6,240.59,22.31,1420.0,3.78,1.02
2010-06-30,5312.5,238.76,22.25,1405.42,3.78,0.93
2010-05-31,5086.3,238.79,21.3,1408.95,3.61,0.97
2010-04-30,5278.0,236.79,22.29,1407.47,3.75,0.92
2010-03-31,5249.1,235.07,22.33,1418.68,3.7,0.94
2010-02-26,4922.3,235.29,20.92,1422.63,3.46,1.0
2010-01-29,4882.0,232.48,21.0,1423.32,3.43,1.01
2009-12-31,5201.0,224.47,23.17,1424.93,3.65,0.95
2009-11-30,5032.7,224.98,22.37,1413.68,3.56,0.98
2009-10-30,4711.7,230.4,20.45,1334.76,3.53,1.06
2009-09-30,5083.9,222.0,22.9,1352.1,3.76,1.0
2009-08-31,4662.1,222.64,20.94,1273.8,3.66,1.09
2009-07-31,4636.4,224.2,20.68,1243.0,3.73,1.11
2009-06-30,4291.1,214.88,19.97,1205.37,3.56,1.16
2009-05-29,4448.9,213.68,20.82,1225.59,3.63,1.24
2009-04-29,3473.9,210.16,16.53,1210.42,2.87,1.6
2009-03-31,3020.9,211.4,14.29,1208.36,2.5,1.85
2009-02-27,2763.6,210.64,13.12,1206.81,2.29,2.03
