date,close,eps,pe,book-value,pb,div-yield %
2015-07-31,18729.85,953.17,19.65,7176.19,2.61,1.05
2015-06-30,18296.1,952.43,19.21,7091.51,2.58,1.06
2015-05-29,18721.35,959.58,19.51,6324.78,2.96,0.94
2015-04-30,18338.1,961.12,19.08,6280.17,2.92,0.96
2015-03-31,18206.65,957.74,19.01,6388.3,2.85,0.98
2015-02-28,19691.2,967.15,20.36,6435.03,3.06,0.92
2015-01-30,19843.75,991.69,20.01,6442.78,3.08,0.91
2014-12-31,18736.65,979.95,19.12,6438.71,2.91,0.96
2014-11-28,18513.15,980.05,18.89,6450.57,2.87,0.98
2014-10-31,17045.05,948.0,17.98,6456.46,2.64,1.06
2014-09-30,15392.25,931.73,16.52,6467.33,2.38,1.17
2014-08-28,15740.4,931.94,16.89,6450.98,2.44,1.15
2014-07-31,15267.6,927.56,16.46,6231.67,2.45,1.27
2014-06-30,15241.9,906.18,16.82,6221.18,2.45,1.28
2014-05-30,14793.4,898.75,16.46,5733.88,2.58,1.22
2014-04-30,12855.85,892.77,14.4,5688.43,2.26,1.39
2014-03-31,12742.05,890.43,14.31,5688.42,2.24,1.40
2014-02-28,10764.7,899.31,11.97,5756.52,1.87,1.69
2014-01-31,10237.75,878.78,11.65,5784.04,1.77,1.79
2013-12-31,11385.25,863.83,13.18,5808.8,1.96,1.61
2013-11-29,11153.95,865.99,12.88,5809.35,1.92,1.65
2013-10-31,11473.15,890.77,12.88,5823.93,1.97,1.60
2013-09-30,9617.8,875.14,10.99,5828.97,1.65,1.91
2013-08-30,9049.2,875.16,10.34,5451.33,1.66,1.93
2013-07-31,10015.75,865.67,11.57,5473.09,1.83,1.74
2013-06-28,11617.25,847.97,13.7,5140.38,2.26,1.34
2013-05-31,12475.65,854.5,14.6,4892.41,2.55,1.18
2013-04-30,12561.55,851.63,14.75,4887.76,2.57,1.17
2013-03-28,11361.85,836.66,13.58,4897.35,2.32,1.29
2013-02-28,11487.35,837.27,13.72,4888.23,2.35,1.28
2013-01-31,12708.6,848.37,14.98,4944.98,2.57,1.17
2012-12-31,12474.25,812.65,15.35,4950.1,2.52,1.19
2012-11-30,12158.9,816.58,14.89,4962.82,2.45,1.23
2012-10-31,11268.8,808.96,13.93,4986.19,2.26,1.33
2012-09-28,11456.8,784.18,14.61,4959.65,2.31,1.31
2012-08-31,9990.5,784.18,12.74,4945.79,2.02,1.50
2012-07-31,10384.1,765.79,13.56,4437.65,2.34,1.29
2012-06-29,10340.65,731.82,14.13,4255.41,2.43,1.24
2012-05-31,9441.0,731.86,12.9,4252.7,2.22,1.36
2012-04-30,10276.8,666.03,15.43,4246.61,2.42,1.26
2012-03-30,10212.75,669.69,15.25,4402.05,2.32,1.31
2012-02-29,10414.2,670.15,15.54,4412.8,2.36,1.29
2012-01-31,9919.45,660.42,15.02,4448.18,2.23,1.27
2011-12-30,7968.65,646.81,12.32,4451.76,1.79,1.56
2011-11-30,8564.1,646.84,13.24,4437.36,1.93,1.45
2011-10-31,9989.65,635.07,15.73,4439.84,2.25,1.25
2011-09-30,9468.3,636.31,14.88,4552.07,2.08,1.35
2011-08-30,9533.4,636.41,14.98,4561.44,2.09,1.34
2011-07-29,10893.65,643.07,16.94,4126.38,2.64,1.07
2011-06-30,11244.65,637.09,17.65,4134.06,2.72,1.04
2011-05-31,11020.85,637.04,17.3,4127.66,2.67,1.06
2011-04-29,11483.75,654.72,17.54,4145.76,2.77,1.02
2011-03-31,11705.45,631.36,18.54,4180.52,2.8,1.01
2011-02-28,10435.35,629.01,16.59,4174.14,2.5,1.14
2011-01-31,10641.85,629.7,16.9,4173.27,2.55,1.12
2010-12-31,11791.45,594.03,19.85,4181.37,2.82,1.01
2010-11-30,11952.6,594.36,20.11,4179.23,2.86,0.99
2010-10-29,12330.75,581.64,21.2,4208.45,2.93,0.97
2010-09-30,12366.35,568.31,21.76,4206.24,2.94,0.96
2010-08-31,10746.35,577.14,18.62,4264.42,2.52,1.12
2010-07-30,10161.0,558.6,18.19,3863.5,2.63,1.10
2010-06-30,9464.6,542.07,17.46,3711.61,2.55,1.12
2010-05-31,9363.7,542.51,17.26,3701.07,2.53,1.13
2010-04-30,9870.35,551.72,17.89,3710.66,2.66,1.07
2010-03-31,9459.6,533.84,17.72,3724.25,2.54,1.12
2010-02-26,8722.75,534.15,16.33,3727.67,2.34,1.22
2010-01-29,8651.55,637.08,13.58,3897.09,2.22,1.34
2009-12-31,9029.5,638.58,14.14,3925.87,2.3,1.29
2009-11-30,9046.95,638.91,14.16,3933.46,2.3,1.29
2009-10-30,8438.6,635.44,13.28,3943.27,2.14,1.38
2009-09-30,8812.35,621.03,14.19,3969.53,2.22,1.34
2009-08-31,7431.65,621.38,11.96,3974.14,1.87,1.58
2009-07-31,7544.5,620.95,12.15,3970.79,1.9,1.56
2009-06-30,7338.85,573.35,12.8,3545.34,2.07,1.30
2009-05-29,7416.0,573.55,12.93,3481.69,2.13,1.29
2009-04-29,5130.95,552.31,9.29,3420.63,1.5,1.78
2009-03-31,4133.2,537.48,7.69,3444.33,1.2,2.21
2009-02-27,3892.4,536.88,7.25,3444.6,1.13,2.35
2009-01-30,4456.55,536.93,8.3,3428.12,1.3,2.05
2008-12-31,5001.55,486.53,10.28,3425.72,1.46,1.83
2008-11-28,4291.15,486.52,8.82,3432.92,1.25,2.13
2008-10-31,4521.7,486.73,9.29,3425.53,1.32,2.02
2008-09-30,5803.55,454.11,12.78,3434.05,1.69,1.57
2008-08-29,6102.05,454.02,13.44,3428.12,1.78,1.50
2008-07-31,5730.05,454.05,12.62,3431.17,1.67,1.59
2008-06-30,5027.05,450.86,11.15,3010.21,1.67,1.70
2008-05-30,6584.35,450.98,14.6,2644.32,2.49,1.10
2008-04-30,7629.0,431.75,17.67,2311.82,3.3,0.89
2008-03-31,6655.0,411.82,16.16,2310.76,2.88,1.02
2008-02-29,8688.35,415.11,20.93,2183.0,3.98,0.80
2008-01-31,9226.25,416.53,22.15,2186.32,4.22,0.75
2007-12-31,9863.45,388.78,25.37,2272.68,4.34,0.73
2007-11-30,9375.75,388.87,24.11,2270.16,4.13,0.77
2007-10-31,9013.15,389.0,23.17,2270.31,3.97,0.80
2007-09-28,8042.2,363.9,22.1,2284.72,3.52,0.90
2007-08-31,6675.85,364.0,18.34,2286.25,2.92,1.08
2007-07-31,6928.45,372.9,18.58,2340.69,2.96,1.07
