date,p/e,p/b,div yield %,close,eps
31-Dec-12,18.68,3.13,1.4,5905.1,316.119
30-Nov-12,18.59,3.12,1.4,5879.8,316.288
31-Oct-12,18.4,3.03,1.44,5619.7,305.418
28-Sep-12,19.17,3.18,1.42,5703.3,297.512
31-Aug-12,17.64,2.87,1.57,5258.5,298.101
31-Jul-12,17.09,2.96,1.54,5229.0,305.968
29-Jun-12,17.51,3.02,1.51,5278.9,301.479
31-May-12,16.66,2.89,1.66,4924.2,295.57
30-Apr-12,18.12,3.08,1.52,5248.1,289.63
30-Mar-12,18.71,3.01,1.5,5295.5,283.03
29-Feb-12,19.09,3.04,1.47,5385.2,282.095
31-Jan-12,18.53,3.02,1.49,5199.2,280.583
30-Dec-11,16.75,2.76,1.63,4624.3,276.078
30-Nov-11,17.49,2.89,1.56,4832.0,276.272
31-Oct-11,18.9,3.19,1.42,5326.6,281.831
30-Sep-11,17.85,2.92,1.53,4943.2,276.93
30-Aug-11,18.05,2.95,1.52,5001.0,277.064
29-Jul-11,19.76,3.4,1.29,5482.0,277.429
30-Jun-11,20.82,3.5,1.25,5647.4,271.249
31-May-11,20.53,3.45,1.22,5560.1,270.828
29-Apr-11,21.36,3.65,1.09,5749.5,269.171
31-Mar-11,22.14,3.7,1.07,5833.7,263.491
28-Feb-11,20.42,3.38,1.17,5333.2,261.175
31-Jan-11,21.06,3.47,1.13,5505.9,261.439
31-Dec-10,24.48,3.87,1.02,6134.5,250.592
30-Nov-10,23.39,3.69,1.06,5862.7,250.65
29-Oct-10,24.71,3.78,1.04,6017.7,243.533
30-Sep-10,25.46,3.82,1.03,6029.9,236.838
31-Aug-10,22.73,3.54,1.12,5402.4,237.677
30-Jul-10,22.31,3.78,1.02,5367.6,240.592
30-Jun-10,22.25,3.78,0.93,5312.5,238.764
31-May-10,21.3,3.61,0.97,5086.3,238.793
30-Apr-10,22.29,3.75,0.92,5278.0,236.788
31-Mar-10,22.33,3.7,0.94,5249.1,235.069
26-Feb-10,20.92,3.46,1,4922.3,235.292
29-Jan-10,21.0,3.43,1.01,4882.0,232.476
31-Dec-09,23.17,3.65,0.95,5201.0,224.471
30-Nov-09,22.37,3.56,0.98,5032.7,224.975
30-Oct-09,20.45,3.53,1.06,4711.7,230.401
30-Sep-09,22.9,3.76,1,5083.9,222.004
31-Aug-09,20.94,3.66,1.09,4662.1,222.641
31-Jul-09,20.68,3.73,1.11,4636.4,224.197
30-Jun-09,19.97,3.56,1.16,4291.1,214.877
29-May-09,20.82,3.63,1.24,4448.9,213.684
29-Apr-09,16.53,2.87,1.6,3473.9,210.157
31-Mar-09,14.29,2.5,1.85,3020.9,211.4
27-Feb-09,13.12,2.29,2.03,2763.6,210.64
30-Jan-09,13.4,2.39,1.95,2874.8,214.537
31-Dec-08,12.97,2.44,1.91,2959.1,228.15
28-Nov-08,12.08,2.32,2.05,2755.1,228.071
31-Oct-08,12.57,2.42,1.96,2885.6,229.562
30-Sep-08,16.85,3.26,1.45,3921.2,232.712
29-Aug-08,18.43,3.83,1.29,4360.0,236.571
31-Jul-08,18.22,3.99,1.28,4332.9,237.81
30-Jun-08,17.28,4.0,1.35,4040.5,233.825
30-May-08,20.74,5.01,1.09,4870.1,234.817
30-Apr-08,22.17,5.55,0.97,5165.9,233.013
31-Mar-08,20.63,5.09,1.06,4734.5,229.496
29-Feb-08,22.27,5.47,0.98,5223.5,234.553
31-Jan-08,21.97,5.38,0.99,5137.4,233.837
31-Dec-07,27.62,6.39,0.84,6138.6,222.252
30-Nov-07,25.21,6.05,0.93,5762.7,228.588
31-Oct-07,25.74,6.18,0.91,5900.6,229.239
28-Sep-07,22.58,5.36,1.06,5021.3,222.378
31-Aug-07,20.2,5.08,1.1,4464.0,220.99
31-Jul-07,20.49,5.31,1.07,4528.8,221.025
29-Jun-07,20.6,5.4,1.11,4318.3,209.626
31-May-07,20.41,5.59,1.1,4295.8,210.475
30-Apr-07,19.48,5.33,1.15,4087.9,209.851
30-Mar-07,18.4,4.87,1.25,3821.5,207.69
28-Feb-07,18.01,4.77,1.27,3745.3,207.957
31-Jan-07,19.85,5.2,1.17,4082.7,205.678
29-Dec-06,21.26,5.07,1.22,3966.4,186.566
30-Nov-06,21.18,5.08,1.22,3954.5,186.709
31-Oct-06,20.37,4.84,1.32,3744.1,183.805
29-Sep-06,20.92,4.76,1.33,3588.4,171.53
31-Aug-06,19.15,4.55,1.47,3413.9,178.272
31-Jul-06,17.64,4.29,1.58,3143.2,178.186
30-Jun-06,18.44,4.66,1.49,3128.2,169.642
31-May-06,17.46,4.57,1.48,3071.0,175.888
29-Apr-06,20.31,5.39,1.27,3557.6,175.165
31-Mar-06,20.26,5.15,1.33,3402.5,167.942
28-Feb-06,18.27,4.64,1.47,3074.7,168.292
31-Jan-06,17.9,4.53,1.51,3001.1,167.659
30-Dec-05,17.16,4.37,1.56,2836.5,165.297
30-Nov-05,15.95,4.06,1.68,2652.2,166.282
31-Oct-05,14.23,3.63,1.87,2370.9,166.613
30-Sep-05,16.15,4.01,1.7,2601.4,161.077
31-Aug-05,14.78,3.89,1.59,2384.6,161.34
29-Jul-05,14.1,3.86,1.62,2312.3,163.993
30-Jun-05,14.31,3.98,1.55,2220.6,155.178
31-May-05,13.94,3.91,1.97,2087.5,149.749
29-Apr-05,13.27,3.56,2.11,1902.5,143.369
31-Mar-05,14.6,3.82,1.97,2035.6,139.425
28-Feb-05,15.02,3.92,1.9,2103.2,140.027
31-Jan-05,14.68,3.57,1.94,2057.6,140.163
31-Dec-04,15.32,3.61,1.83,2080.5,135.803
30-Nov-04,16.39,3.38,1.92,1958.8,119.512
29-Oct-04,14.93,3.08,2.14,1786.9,119.685
30-Sep-04,14.59,3.16,2.18,1745.5,119.637
31-Aug-04,13.64,2.95,2.4,1631.7,119.626
30-Jul-04,13.63,2.95,2.45,1632.3,119.758
30-Jun-04,12.64,2.83,2.59,1505.6,119.114
31-May-04,11.94,2.84,2.59,1483.6,124.255
30-Apr-04,18.68,3.54,1.98,1796.1,96.151
31-Mar-04,20.7,3.5,1.77,1771.9,85.599
27-Feb-04,19.74,3.89,1.52,1800.3,91.201
30-Jan-04,19.96,3.9,1.52,1809.7,90.666
31-Dec-03,20.73,4.05,1.47,1879.7,90.675
28-Nov-03,17.81,3.47,1.71,1615.2,90.691
31-Oct-03,17.15,3.35,1.77,1555.9,90.723
30-Sep-03,15.61,3.05,1.85,1417.1,90.782
29-Aug-03,14.95,2.92,1.93,1356.5,90.736
31-Jul-03,12.84,2.55,2.23,1185.8,92.352
30-Jun-03,12.95,2.44,2.62,1134.1,87.575
30-May-03,11.65,2.17,2.95,1006.8,86.421
30-Apr-03,13.14,2.11,2.98,934.05,71.084
31-Mar-03,13.36,2.15,2.93,978.2,73.219
28-Feb-03,14.42,2.33,2.46,1063.4,73.745
31-Jan-03,14.13,2.28,2.51,1041.8,73.73
31-Dec-02,14.83,2.39,2.4,1093.5,73.736
29-Nov-02,14.24,2.3,2.49,1050.1,73.743
31-Oct-02,14.47,2.43,2.21,951.4,65.75
30-Sep-02,14.33,2.4,2.23,963.15,67.212
30-Aug-02,15.04,3.06,1.95,1010.6,67.194
31-Jul-02,14.26,2.39,2.24,958.9,67.244
28-Jun-02,15.73,3.2,1.34,1057.8,67.247
31-May-02,16.19,3.07,1.39,1028.8,63.545
30-Apr-02,17.86,2.83,1.42,1084.5,60.722
28-Mar-02,18.1,2.91,1.34,1129.5,62.403
